,SurveyYear,InstitutionName,UGratioBG,MaleUndergraduates,FemaleUndergraduates,RevenuesMensTeam,RevenuesWomensTeam,ExpensesMensTeam,ExpensesWomensTeam,OperatingExpensesperTeamMensTeam,OperatingExpensesperTeamWomensTeam
100,2003,Biola University,0.59560327198364,1165.0,1956.0,60481.0,34566.0,331223.0,176630.0,20043.0,19053.0
101,2003,Birmingham Southern College,0.7196765498652291,534.0,742.0,921770.0,690469.0,921770.0,690469.0,113903.0,85703.0
102,2003,Bishop State Community College,0.48625792811839325,920.0,1892.0,38988.0,38988.0,38988.0,38988.0,38988.0,38988.0
103,2003,Bismarck State College,1.2290448343079923,1261.0,1026.0,28411.0,24455.0,20865.0,18149.0,20865.0,18150.0
104,2003,Black Hawk College,0.7668571428571429,1342.0,1750.0,65420.0,41397.0,104438.0,78233.0,39874.0,37691.0
105,2003,Black Hills State University,0.604916067146283,1009.0,1668.0,145871.0,138763.0,129400.0,126450.0,30000.0,30000.0
106,2003,Blackburn College,0.7463556851311953,256.0,343.0,37407.0,43365.0,37407.0,43365.0,15240.0,15933.0
107,2003,Blinn College,1.1353837309571717,3950.0,3479.0,490.0,6072.0,242663.0,285502.0,22084.0,23903.0
108,2003,Bloomfield College,0.49343339587242024,526.0,1066.0,13700.0,13700.0,24771.0,19110.0,13700.0,13700.0
109,2003,Bloomsburg University of Pennsylvania,0.6498698840785427,2747.0,4227.0,210377.0,148495.0,218916.0,173363.0,21845.0,20954.0
110,2003,Blue Mountain Community College,0.47339449541284406,258.0,545.0,55784.0,54853.0,54753.0,54985.0,20451.0,21236.0
111,2003,Bluefield College,0.9498525073746312,322.0,339.0,142317.0,108606.0,140201.0,106554.0,19194.0,17882.0
112,2003,Bluefield State College,0.6288448393711552,920.0,1463.0,28750.0,30600.0,66833.0,52754.0,28750.0,28750.0
113,2003,Bluffton University,0.7005253940455342,400.0,571.0,67233.0,47833.0,63059.0,45525.0,22482.0,17952.0
114,2003,Boise State University,0.8865030674846626,4913.0,5542.0,883351.0,48342.0,849573.0,649773.0,179872.0,152424.0
115,2003,Bossier Parish Community College,0.578494623655914,807.0,1395.0,84557.0,,62259.0,,21914.0,0.0
116,2003,Boston College,0.9184852374839538,4293.0,4674.0,3163990.0,446204.0,2708878.0,1697420.0,381237.0,356443.0
117,2003,Boston University,0.6654366543665436,6492.0,9756.0,389006.0,80399.0,992101.0,680996.0,169046.0,153382.0
118,2003,Bowdoin College,1.0221948212083847,829.0,811.0,103563.0,89185.0,103563.0,89185.0,14612.0,43344.0
119,2003,Bowie State University,0.612603305785124,1186.0,1936.0,7822.0,7822.0,386714.0,274352.0,104541.0,68249.0
120,2003,Bowling Green State University-Main Campus,0.7907379891035166,6386.0,8076.0,427144.0,54106.0,1036819.0,768910.0,196563.0,107370.0
121,2003,Bradley University,0.8585439456808751,2276.0,2651.0,1878452.0,709022.0,1685526.0,854577.0,258396.0,142834.0
122,2003,Brandeis University,0.778344671201814,1373.0,1764.0,129379.0,126324.0,129379.0,126324.0,47379.0,49438.0
123,2003,Brescia University,0.7317880794701986,221.0,302.0,25050.0,24650.0,20650.0,20650.0,20600.0,20600.0
124,2003,Brevard College,1.26,315.0,250.0,58000.0,49000.0,62293.0,50184.0,26293.0,20184.0
125,2003,Brevard Community College,0.7787580590430947,2295.0,2947.0,67100.0,70590.0,67100.0,70590.0,11100.0,11950.0
126,2003,Brewton-Parker College,0.5985401459854015,328.0,548.0,206320.0,170629.0,206320.0,170629.0,43780.0,37534.0
127,2003,Briar Cliff University,0.7131782945736435,368.0,516.0,190884.0,167088.0,178297.0,151735.0,21962.0,17604.0
128,2003,Bridgewater College,0.8034076015727392,613.0,763.0,116784.0,87119.0,116176.0,97831.0,33859.0,41912.0
129,2003,Bridgewater State College,0.647850171458718,2456.0,3791.0,15940.0,15440.0,11748.0,11368.0,11690.0,11190.0
130,2003,Brigham Young University,1.0140909090909092,13386.0,13200.0,3734793.0,924713.0,2998188.0,1058177.0,455282.0,275939.0
131,2003,Brookdale Community College,0.9695067264573991,3243.0,3345.0,13000.0,13000.0,24250.0,25500.0,16350.0,15255.0
132,2003,Broome Community College,0.8294951284322409,1873.0,2258.0,23665.0,22811.0,22073.0,21407.0,16318.0,15652.0
133,2003,Brown University,0.8263956114875767,2561.0,3099.0,521619.0,412025.0,521619.0,406192.0,154603.0,99491.0
134,2003,Brunswick Community College,0.49725274725274726,181.0,364.0,14112.0,6005.0,14112.0,6005.0,11762.0,6005.0
135,2003,Bryan College,0.7689873417721519,243.0,316.0,25278.0,24889.0,25278.0,24889.0,23608.0,23482.0
136,2003,Bryant University,1.4967978042086,1636.0,1093.0,72482.0,68099.0,487744.0,479928.0,51604.0,54576.0
137,2003,Bucknell University,0.9855990783410138,1711.0,1736.0,839242.0,599516.0,839243.0,599516.0,143556.0,91274.0
138,2003,Buena Vista University,0.5982678214523651,898.0,1501.0,90232.0,81038.0,83779.0,76637.0,27173.0,24667.0
139,2003,Bunker Hill Community College,0.8302556818181818,1169.0,1408.0,21100.0,21150.0,21150.0,21150.0,14906.0,10603.0
140,2003,Butler County Community College,0.8745267712276906,1617.0,1849.0,191407.0,143713.0,186638.0,140534.0,35301.0,26180.0
141,2003,Butler County Community College,0.8907646474677259,897.0,1007.0,8118.0,5747.0,8444.0,6487.0,6714.0,4757.0
