,Rank,Name,Pos,Rating,Followers,state,Hometown,FollowersT,NILvalue2,NILVal,basketball,womens-basketball,gender
152,53,Gabriela Jaquez,SF,,21K,CA,Camarillo (Adolfo) HSCamarillo,21000.0,23K,23000.0,,1.0,Womens
153,54,Sania Feagin,PF,,15.6K,GA,Forest ParkEllenwood,15600.0,22K,22000.0,,1.0,Womens
154,55,Amina Muhammad,PF,,5.2K,TX,DeSotoDeSoto,5200.0,22K,22000.0,,1.0,Womens
155,56,Talaysia Cooper,PG,,13K,SC,East Clarendon HiTurbeville,13000.0,22K,22000.0,,1.0,Womens
156,57,Chance Gray,PG,,17.3K,OH,Winton WoodsCincinnati,17300.0,22K,22000.0,,1.0,Womens
157,58,Justine Pissott,SG,,17.3K,NJ,Red Bank CatholicToms River,17300.0,22K,22000.0,,1.0,Womens
158,59,Grace VanSlooten,SF,,38K,OH,IMG AcademyToledo,38000.0,22K,22000.0,,1.0,Womens
159,60,Cotie McMahon,SG,,7.3K,OH,CentervilleCenterville,7300.0,22K,22000.0,,1.0,Womens
160,61,Ndjakalenga Mwenentanda,CG,,3.8K,SD,Washington HighSioux Falls,3800.0,21K,21000.0,,1.0,Womens
161,62,Deyona Gaston,SF,,2.8K,TX,PearlandPearland,2800.0,20K,20000.0,,1.0,Womens
162,63,Jakia Brown-Turner,CG,,19K,MD,Bishop McNamaraOxon Hill,19000.0,20K,20000.0,,1.0,Womens
163,64,Marley Washenitz,SG,,62K,WV,FairmontFairmont,62000.0,20K,20000.0,,1.0,Womens
164,65,Diamond Johnson,SG,,18K,PA,Neumann GorettiPhiladelphia,18000.0,20K,20000.0,,1.0,Womens
165,66,Lexi Donarski,SG,,12.5K,WI,St. Thomas Aquinas AcademyLa Crosse,12500.0,20K,20000.0,,1.0,Womens
166,67,Jordan Walker,SG,,9K,MI,Mona ShoresMuskegon,9000.0,20K,20000.0,,1.0,Womens
167,68,Monika Czinano,PF,,9.6K,MN,Watertown MayerWatertown,9600.0,20K,20000.0,,1.0,Womens
168,69,Madison Hayes,PG,,31K,TN,East HamiltonChattanooga,31000.0,19.9K,19900.0,,1.0,Womens
169,70,Nyla Harris,SF,,7.7K,FL,Lake Highland PrepWindermere,7700.0,19.7K,19700.0,,1.0,Womens
170,71,Mikayla Boykin,SG,,17.9K,NC,ClintonClinton,17900.0,19.4K,19400.0,,1.0,Womens
171,72,Brianna Turnage,CG,,6.6K,GA,WestlakeAtlanta,6600.0,19.4K,19400.0,,1.0,Womens
172,73,Lauren Betts,C,,18.9K,CO,GrandviewAurora,18900.0,19.3K,19300.0,,1.0,Womens
173,74,Grace Berger,SG,,8.9K,KY,Sacred Heart AcademyLouisville,8900.0,18.8K,18800.0,,1.0,Womens
174,75,Ayoka Lee,C,,11K,MN,Byron SeniorByron,11000.0,18.5K,18500.0,,1.0,Womens
175,76,Lauren Ware,PF,,9K,ND,CenturyBismarck,9000.0,18.3K,18300.0,,1.0,Womens
176,77,Sydney Affolter,SG,,8K,IL,MaristChicago,8000.0,18.3K,18300.0,,1.0,Womens
177,78,Taylor McCabe,SG,,5.7K,NE,Fremont SeniorFremont,5700.0,18.1K,18100.0,,1.0,Womens
178,79,Aijha Blackwell,CG,,23K,MO,Cardinal Ritter College PrepSaint Louis,23000.0,17.9K,17900.0,,1.0,Womens
179,80,Aaliyah Gayles,PG,,14.4K,NV,Spring ValleyLas Vegas,14400.0,17.9K,17900.0,,1.0,Womens
180,81,Sara Puckett,CG,,5.9K,AL,Muscle Shoals Muscle Shoals,5900.0,17.9K,17900.0,,1.0,Womens
181,82,Jada Gyamfi,SF,,6.7K,IA,JohnstonJohnston,6700.0,17.8K,17800.0,,1.0,Womens
182,83,Diamond Miller,SF,,8.7K,NJ,Franklin TwpSomerset,8700.0,17.8K,17800.0,,1.0,Womens
183,84,Elizabeth Kitley,C,,12.1K,NC,Northwest GuilfordSummerfield,12100.0,17.6K,17600.0,,1.0,Womens
184,85,Abbey Kimball,SG,,5.8K,MI,West CatholicGrand Rapids,5800.0,17.6K,17600.0,,1.0,Womens
185,86,Marta Suárez,SF,,5K,do,Oviedo,5000.0,17.5K,17500.0,,1.0,Womens
186,87,AJ Ediger,PF,,8.7K,MI,HamiltonHudsonville,8700.0,17.3K,17300.0,,1.0,Womens
187,88,Tory Ozment,CG,,4.4K,GA,BufordBuford,4400.0,17.2K,17200.0,,1.0,Womens
188,89,Theryn Hallock,SG,,5.1K,MI,Forest Hills CentralGrand Rapids,5100.0,17.1K,17100.0,,1.0,Womens
189,90,Kierra Fletcher,PG,,4.9K,MI,Cousino SeniorWarren,4900.0,16.8K,16800.0,,1.0,Womens
190,91,Isuneh Brady,PF,,18.9K,CA,Cathedral CatholicSan Diego,18900.0,16.5K,16500.0,,1.0,Womens
191,92,Hannah Stuelke,SF,,2.8K,IA,George WashingtonCedar Rapids,2800.0,16.1K,16100.000000000002,,1.0,Womens
192,93,Myka Perry,SG,,2.3K,OK,NormanNorman,2300.0,15.8K,15800.0,,1.0,Womens
193,94,Jillian Archer,SF,,10.9K,CA,Bishop AlemanySanta Monica,10900.0,15.4K,15400.0,,1.0,Womens
194,95,Brynn Masikewich,PF,,4.5K,AB,Calgary,4500.0,15.4K,15400.0,,1.0,Womens
195,96,Jessica Timmons,CG,,10.9K,NC,North MecklenburgCharlotte,10900.0,15.2K,15200.0,,1.0,Womens
196,97,Ashley Joens,SF,,5.1K,IA,Iowa CityIowa City,5100.0,15.1K,15100.0,,1.0,Womens
197,98,Holly Kersgieter,SG,,3.1K,OK,Charles PageSand Springs,3100.0,15.1K,15100.0,,1.0,Womens
198,99,Jada Boyd,SF,,21K,VA,Appomattox CountyPetersburg,21000.0,15K,15000.0,,1.0,Womens
199,100,Gabby Elliott,CG,,1.8K,MI,Detroit Edison Detroit,1800.0,14.6K,14600.0,,1.0,Womens
